ASIN,Current_Price,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Recommendation
B08PZDSP2Z,519.95,509.55,514.75,493.95,478.35,483.55,462.76,441.96,447.16,426.36,405.56,410.76,395.16,384.76,389.96,WAIT
B08QMG7Z4R,14.18,14.67,15.15,15.64,16.12,16.61,17.1,17.58,19.85,19.85,19.85,19.85,19.85,19.85,19.85,BUY
B08VM9JN7H,159.97,156.77,158.37,151.97,147.17,148.77,142.37,135.97,137.57,131.18,124.78,126.38,121.58,118.38,119.98,WAIT
B08W5BN4FK,29.99,31.02,32.05,33.07,34.1,35.13,36.16,37.19,41.99,41.99,41.99,41.99,41.99,41.99,41.99,BUY
B08WJ26WP6,77.97,76.41,77.19,74.07,71.73,72.51,69.39,66.27,67.05,63.94,60.82,61.60,59.26,57.70,58.48,WAIT
B08WM3LMJF,49.95,48.95,49.45,47.45,45.95,46.45,44.46,42.46,42.96,40.96,38.96,39.46,37.96,36.96,37.46,WAIT
B08YDW8HKX,20.0,20.66,21.31,21.97,22.63,23.29,23.94,24.6,27.93,27.86,27.79,27.72,27.65,27.58,27.5,BUY
B0916TKFF2,29.99,29.99,29.99,29.98,29.98,29.98,29.98,29.98,29.97,29.97,29.97,29.97,29.97,29.97,29.97,BUY
B091BD6KJR,8.99,9.3,9.61,9.91,10.22,10.53,10.84,11.15,12.59,12.59,12.59,12.59,12.59,12.59,12.59,BUY
B092J8LPWR,14.01,14.49,14.97,15.45,15.93,16.41,16.89,17.37,19.61,19.61,19.61,19.61,19.61,19.61,19.61,BUY
B092RCLKHN,169.0,165.62,167.31,160.55,155.48,157.17,150.41,143.65,145.34,138.58,131.82,133.51,128.44,125.06,126.75,WAIT
B09478CKG2,27.97,28.71,29.46,30.2,30.94,31.69,32.43,33.18,32.7,33.78,34.85,35.93,37.01,38.08,39.16,BUY
B096SRYXMP,149.95,146.95,148.45,142.45,137.95,139.45,133.46,127.46,128.96,122.96,116.96,118.46,113.96,110.96,112.46,WAIT
B09B27J11J,15.29,15.48,15.68,15.87,16.07,16.26,16.46,16.65,17.56,17.56,17.56,17.56,17.56,17.56,17.56,BUY
B09BF64J55,24.59,24.37,24.16,23.94,23.72,23.51,23.29,23.07,21.42,21.6,21.77,21.95,22.12,22.29,22.47,BUY
B09BKCDXZC,35.98,37.21,38.45,39.68,40.91,42.15,43.38,44.62,50.37,50.37,50.37,50.37,50.37,50.37,50.37,BUY
B09CY995KT,22.2,22.96,23.72,24.48,25.24,26.01,26.77,27.53,31.08,31.08,31.08,31.08,31.08,31.08,31.08,BUY
B09D5PW315,219.99,215.59,217.79,208.99,202.39,204.59,195.79,186.99,189.19,180.39,171.59,173.79,167.19,162.79,164.99,WAIT
B09FP4H99P,68.99,71.36,73.72,76.09,78.45,80.82,83.18,85.55,96.59,96.59,96.59,96.59,96.59,96.59,96.59,BUY
B09FT58QQP,19.99,20.68,21.36,22.05,22.73,23.42,24.1,24.79,27.99,27.99,27.99,27.99,27.99,27.99,27.99,BUY
B09G9FPHY6,329.0,322.42,325.71,312.55,302.68,305.97,292.81,279.65,282.94,269.78,256.62,259.91,250.04,243.46,246.75,WAIT
B09GJZKQ3K,109.95,107.75,108.85,104.45,101.15,102.25,97.86,93.46,94.56,90.16,85.76,86.86,83.56,81.36,82.46,WAIT
B09HC5GRKY,89.0,87.22,88.11,84.55,81.88,82.77,79.21,75.65,76.54,72.98,69.42,70.31,67.64,65.86,66.75,WAIT
B09JL41N9C,169.95,166.55,168.25,161.45,156.35,158.05,151.26,144.46,146.16,139.36,132.56,134.26,129.16,125.76,127.46,WAIT
B09JWQH8XG,22.46,22.88,23.29,23.71,24.13,24.54,24.96,25.38,30.56,29.68,28.79,27.91,27.03,26.14,25.26,BUY
B09L951YB4,9.99,10.33,10.68,11.02,11.36,11.7,12.05,12.39,13.99,13.99,13.99,13.99,13.99,13.99,13.99,BUY
B09LYF2ST7,39.41,40.76,42.11,43.46,44.81,46.17,47.52,48.87,55.17,55.17,55.17,55.17,55.17,55.17,55.17,BUY
B09M94KXPN,169.0,165.62,167.31,160.55,155.48,157.17,150.41,143.65,145.34,138.58,131.82,133.51,128.44,125.06,126.75,WAIT
B09MFCKZX7,47.84,49.48,51.12,52.76,54.4,56.04,57.68,59.32,66.98,66.98,66.98,66.98,66.98,66.98,66.98,BUY
B09NBVS84T,99.99,103.42,106.85,110.27,113.7,117.13,120.56,123.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,BUY
B09PSKG7C3,299.99,293.99,296.99,284.99,275.99,278.99,266.99,254.99,257.99,245.99,233.99,236.99,227.99,221.99,224.99,WAIT
B09QGR8FM7,18.97,19.62,20.27,20.92,21.57,22.22,22.87,23.52,26.56,26.56,26.56,26.56,26.56,26.56,26.56,BUY
B09QT1Y48G,7.3,7.55,7.8,8.05,8.3,8.55,8.8,9.05,10.22,10.22,10.22,10.22,10.22,10.22,10.22,BUY
B09SG2Q23M,31.15,32.22,33.29,34.35,35.42,36.49,37.56,38.63,43.61,43.61,43.61,43.61,43.61,43.61,43.61,BUY
B09V9P5Q6W,99.95,97.95,98.95,94.95,91.95,92.95,88.96,84.96,85.96,81.96,77.96,78.96,75.96,73.96,74.96,WAIT
B09VM2TBZF,28.49,27.92,28.21,27.07,26.21,26.50,25.36,24.22,24.50,23.36,22.22,22.51,21.65,21.08,21.37,WAIT
B09VMJM5RD,10.68,11.05,11.41,11.78,12.14,12.51,12.88,13.24,14.95,14.95,14.95,14.95,14.95,14.95,14.95,BUY
B09XS7JWHH,298.0,292.04,295.02,283.10,274.16,277.14,265.22,253.30,256.28,244.36,232.44,235.42,226.48,220.52,223.50,WAIT
B09YDS8BHK,299.95,291.83,283.72,275.6,267.49,259.37,251.26,243.14,185.39,190.81,196.23,201.66,207.08,212.5,217.92,WAIT
B09YLFHFDW,28.0,28.96,29.92,30.88,31.84,32.8,33.76,34.72,39.2,39.2,39.2,39.2,39.2,39.2,39.2,BUY
B09Z6Q2MLC,11.69,12.09,12.49,12.89,13.29,13.69,14.09,14.5,16.37,16.37,16.37,16.37,16.37,16.37,16.37,BUY
B09ZRN1N3Z,139.99,136.15,132.31,128.47,124.63,120.79,116.95,113.11,95.19,95.19,95.19,95.19,95.19,95.19,95.19,WAIT
B09ZVJR768,17.99,18.61,19.22,19.84,20.46,21.07,21.69,22.31,25.19,25.19,25.19,25.19,25.19,25.19,25.19,BUY
B09ZWG648V,19.55,19.16,19.35,18.57,17.99,18.18,17.40,16.62,16.81,16.03,15.25,15.44,14.66,13.88,14.08,WAIT
B0B18TST2R,59.99,62.05,64.1,66.16,68.22,70.27,72.33,74.39,83.99,83.99,83.99,83.99,83.99,83.99,83.99,BUY
B0B1J7N2F2,7.99,8.26,8.54,8.81,9.09,9.36,9.63,9.91,11.19,11.19,11.19,11.19,11.19,11.19,11.19,BUY
B0B1LVC5VZ,59.0,57.82,58.41,56.05,54.28,54.87,52.51,50.15,50.74,48.38,46.02,46.61,44.25,41.89,42.48,WAIT
B0B1MGSLLW,94.99,95.31,95.63,95.95,96.28,96.6,96.92,97.24,98.74,98.74,98.74,98.74,98.74,98.74,98.74,BUY
B0B2J7WSDK,96.71,94.78,95.74,91.87,88.97,89.94,86.07,82.20,83.17,79.30,75.43,76.40,72.53,68.66,69.63,WAIT
B0B3MNRDGL,89.99,88.19,89.09,85.49,82.79,83.69,80.09,76.49,77.39,73.79,70.19,71.09,67.49,63.89,64.79,WAIT
B0B4MV1TGL,199.95,195.95,197.95,189.95,183.95,185.95,177.96,169.96,171.96,163.96,155.96,157.96,149.96,141.96,143.96,WAIT
B0B4MWCFV4,149.95,146.71,143.47,140.23,136.99,133.75,130.51,127.27,94.72,99.48,104.23,108.99,113.74,118.5,123.25,WAIT
B0B4VXHBNP,42.15,43.6,45.04,46.49,47.93,49.38,50.82,52.27,59.01,59.01,59.01,59.01,59.01,59.01,59.01,BUY
B0B5MC3G1Y,37.85,39.15,40.45,41.74,43.04,44.34,45.64,46.93,52.99,52.99,52.99,52.99,52.99,52.99,52.99,BUY
B0B8PDHRWY,119.95,124.06,128.18,132.29,136.4,140.51,144.63,148.74,167.93,167.93,167.93,167.93,167.93,167.93,167.93,BUY
B0BCH5H2R3,22.98,23.77,24.56,25.34,26.13,26.92,27.71,28.5,32.17,32.17,32.17,32.17,32.17,32.17,32.17,BUY
B0BF6T86WD,179.0,175.42,177.21,170.05,164.68,166.47,159.31,152.15,153.94,146.78,139.62,141.41,134.25,127.09,128.88,WAIT
B0BGM5XPQZ,119.99,117.59,118.79,113.99,110.39,111.59,106.79,101.99,103.19,98.39,93.59,94.79,89.99,85.19,86.39,WAIT
B0BJDY6D1W,126.65,124.12,125.38,120.32,116.52,117.78,112.72,107.65,108.92,103.85,98.79,100.05,94.99,89.92,91.19,WAIT
B0BQPNMXQV,29.94,29.33,28.72,28.1,27.49,26.88,26.27,25.65,22.79,22.79,22.79,22.79,22.79,22.79,22.79,WAIT
B0BQPRV3NJ,99.95,97.95,98.95,94.95,91.95,92.95,88.96,84.96,85.96,81.96,77.96,78.96,74.96,70.96,71.96,WAIT
B0BQPSX5CR,349.0,342.02,345.51,331.55,321.08,324.57,310.61,296.65,300.14,286.18,272.22,275.71,261.75,247.79,251.28,WAIT
B0BQPZ7DMV,29.94,30.97,31.99,33.02,34.05,35.07,36.1,37.13,41.92,41.92,41.92,41.92,41.92,41.92,41.92,BUY
B0BQZBMXD4,29.74,29.15,29.44,28.25,27.36,27.66,26.47,25.28,25.58,24.39,23.20,23.49,22.31,21.12,21.41,WAIT
B0BRTSY1N9,44.35,43.96,43.57,43.18,42.79,42.4,42.01,41.62,39.8,39.8,39.8,39.8,39.8,39.8,39.8,WAIT
B0BS1PRC4L,42.95,42.09,42.52,40.80,39.51,39.94,38.23,36.51,36.94,35.22,33.50,33.93,32.21,30.50,30.92,WAIT
B0BS1QCFHX,94.95,93.05,94.00,90.20,87.35,88.30,84.51,80.71,81.66,77.86,74.06,75.01,71.21,67.41,68.36,WAIT
B0BS1T9J4Y,349.99,361.99,373.99,385.99,397.99,409.99,421.99,433.99,489.99,489.99,489.99,489.99,489.99,489.99,489.99,BUY
B0BSVQ37CB,129.96,133.87,137.78,141.69,145.6,149.5,153.41,157.32,180.58,179.21,177.84,176.48,175.11,173.74,172.37,BUY
B0BT2V6KNM,39.95,39.15,39.55,37.95,36.75,37.15,35.56,33.96,34.36,32.76,31.16,31.56,29.96,28.36,28.76,WAIT
B0BTYCRJSS,29.74,30.11,30.48,30.84,31.21,31.58,31.95,32.31,40.01,38.38,36.75,35.12,33.49,31.86,30.23,BUY
B0BVSXY216,154.93,151.83,153.38,147.18,142.54,144.08,137.89,131.69,133.24,127.04,120.85,122.39,116.20,110.00,111.55,WAIT
B0BVVMVHSY,49.99,51.7,53.42,55.13,56.85,58.56,60.27,61.99,69.99,69.99,69.99,69.99,69.99,69.99,69.99,BUY
B0BVWNK619,24.99,25.85,26.7,27.56,28.42,29.27,30.13,30.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,BUY
B0BW2LVJ4P,219.0,214.45,209.91,205.36,200.82,196.27,191.73,187.18,165.97,165.97,165.97,165.97,165.97,165.97,165.97,WAIT
B0BW43GXM2,34.99,36.19,37.39,38.59,39.79,40.99,42.19,43.39,48.99,48.99,48.99,48.99,48.99,48.99,48.99,BUY
B0BW9QKYZK,52.99,51.93,52.46,50.34,48.75,49.28,47.16,45.04,45.57,43.45,41.33,41.86,39.74,37.62,38.15,WAIT
B0BWNYBRNL,93.0,91.14,92.07,88.35,85.56,86.49,82.77,79.05,79.98,76.26,72.54,73.47,69.75,66.03,66.96,WAIT
B0BWPK91TB,130.84,128.22,129.53,124.30,120.37,121.68,116.45,111.21,112.52,107.29,102.06,103.36,98.13,92.90,94.20,WAIT
B0BX4P4MT3,89.95,88.48,87.02,85.55,84.08,82.62,81.15,79.68,72.84,72.84,72.84,72.84,72.84,72.84,72.84,WAIT
B0BYNVS3RP,154.99,151.89,153.44,147.24,142.59,144.14,137.94,131.74,133.29,127.09,120.89,122.44,116.24,110.04,111.59,WAIT
B0C1HGKNG7,59.95,58.75,59.35,56.95,55.15,55.75,53.36,50.96,51.56,49.16,46.76,47.36,44.96,42.56,43.16,WAIT
B0C1KPXPM9,209.99,205.79,207.89,199.49,193.19,195.29,186.89,178.49,180.59,172.19,163.79,165.89,157.49,149.09,151.19,WAIT
B0C1Q9QDQP,79.95,78.35,79.15,75.95,73.55,74.35,71.16,67.96,68.76,65.56,62.36,63.16,59.96,56.76,57.56,WAIT
B0C1QNRGHC,79.95,82.69,85.43,88.17,90.91,93.66,96.4,99.14,111.93,111.93,111.93,111.93,111.93,111.93,111.93,BUY
B0C1QWWZR4,79.95,78.35,79.15,75.95,73.55,74.35,71.16,67.96,68.76,65.56,62.36,63.16,59.96,56.76,57.56,WAIT
B0C29CMM4R,58.0,59.99,61.98,63.97,65.95,67.94,69.93,71.92,81.2,81.2,81.2,81.2,81.2,81.2,81.2,BUY
B0C2F5KD26,19.87,20.55,21.23,21.91,22.6,23.28,23.96,24.64,27.82,27.82,27.82,27.82,27.82,27.82,27.82,BUY
B0C2Y6WXJ7,46.98,46.04,46.51,44.63,43.22,43.69,41.81,39.93,40.40,38.52,36.64,37.11,35.24,33.36,33.83,WAIT
B0C546P8BQ,17.66,18.27,18.87,19.48,20.08,20.69,21.29,21.9,24.72,24.72,24.72,24.72,24.72,24.72,24.72,BUY
B0C6FTSYQ9,24.89,25.74,26.6,27.45,28.3,29.16,30.01,30.86,34.85,34.85,34.85,34.85,34.85,34.85,34.85,BUY
B0C6KFZC9Z,64.99,67.22,69.45,71.67,73.9,76.13,78.36,80.59,90.99,90.99,90.99,90.99,90.99,90.99,90.99,BUY
B0C6LSD69F,299.99,310.28,320.56,330.85,341.13,351.42,361.7,371.99,419.99,419.99,419.99,419.99,419.99,419.99,419.99,BUY
B0C6S6TPRH,28.99,29.98,30.98,31.97,32.97,33.96,34.95,35.95,40.59,40.59,40.59,40.59,40.59,40.59,40.59,BUY
B0C8PR4W22,199.95,195.95,197.95,189.95,183.95,185.95,177.96,169.96,171.96,163.96,155.96,157.96,149.96,141.96,143.96,WAIT
B0CCBXRYRC,20.99,21.71,22.43,23.15,23.87,24.59,25.31,26.03,29.39,29.39,29.39,29.39,29.39,29.39,29.39,BUY
B0CCYKVVRH,22.99,23.67,24.36,25.04,25.72,26.41,27.09,27.77,29.03,29.56,30.08,30.61,31.13,31.66,32.19,BUY
B0CCZ26B5V,249.0,257.54,266.07,274.61,283.15,291.69,300.22,308.76,348.6,348.6,348.6,348.6,348.6,348.6,348.6,BUY
B0CDC6H66Y,396.0,388.08,392.04,376.20,364.32,368.28,352.44,336.60,340.56,324.72,308.88,312.84,297.00,281.16,285.12,WAIT
B0CDH415QV,199.95,195.95,197.95,189.95,183.95,185.95,177.96,169.96,171.96,163.96,155.96,157.96,149.96,141.96,143.96,WAIT
B0CF2QYW8H,72.99,71.53,72.26,69.34,67.15,67.88,64.96,62.04,62.77,59.85,56.93,57.66,54.74,51.82,52.55,WAIT
B0CF74G2RL,92.71,90.86,91.78,88.07,85.29,86.22,82.51,78.80,79.73,76.02,72.31,73.24,69.53,65.82,66.75,WAIT
B0CFCQVZS6,19.99,20.47,20.95,21.42,21.9,22.38,22.86,23.34,21.77,22.81,23.85,24.88,25.92,26.95,27.99,BUY
B0CFV9XR2Q,67.92,66.56,67.24,64.52,62.49,63.17,60.45,57.73,58.41,55.69,52.98,53.66,50.94,48.22,48.90,WAIT
B0CG19FGQ5,569.0,557.62,563.31,540.55,523.48,529.17,506.41,483.65,489.34,466.58,443.82,449.51,426.75,403.99,409.68,WAIT
B0CG19QXWD,439.0,430.22,434.61,417.05,403.88,408.27,390.71,373.15,377.54,359.98,342.42,346.81,329.25,311.69,316.08,WAIT
B0CG6LMQHH,179.0,185.14,191.27,197.41,203.55,209.69,215.82,221.96,250.6,250.6,250.6,250.6,250.6,250.6,250.6,BUY
B0CG7GHYXJ,105.79,103.67,104.73,100.50,97.33,98.38,94.15,89.92,90.98,86.75,82.52,83.57,79.34,75.11,76.17,WAIT
B0CGXYM9TP,299.0,293.02,296.01,284.05,275.08,278.07,266.11,254.15,257.14,245.18,233.22,236.21,224.25,212.29,215.28,WAIT
B0CHHSFMRL,89.97,88.17,89.07,85.47,82.77,83.67,80.07,76.47,77.37,73.78,70.18,71.08,67.48,63.88,64.78,WAIT
B0CHN2D8KM,18.79,19.43,20.08,20.72,21.37,22.01,22.66,23.3,26.31,26.31,26.31,26.31,26.31,26.31,26.31,BUY
B0CJVK87Y7,169.99,175.29,180.6,185.9,191.2,196.51,201.81,207.11,222.25,224.87,227.49,230.12,232.74,235.36,237.99,BUY
B0CJYL1Q9S,55.38,57.28,59.18,61.08,62.97,64.87,66.77,68.67,77.53,77.53,77.53,77.53,77.53,77.53,77.53,BUY
B0CK3XTZ2Y,718.0,703.64,710.82,682.10,660.56,667.74,639.02,610.30,617.48,588.76,560.04,567.22,538.50,509.78,516.96,WAIT
B0CKLRY533,27.99,27.54,27.09,26.65,26.2,25.75,25.3,24.86,20.75,21.3,21.85,22.4,22.95,23.5,24.05,WAIT
B0CL3P2YHF,168.27,170.48,172.7,174.91,177.13,179.34,181.56,183.77,226.69,217.81,208.92,200.03,191.15,182.26,173.38,BUY
B0CL9RXRVX,249.99,244.99,247.49,237.49,229.99,232.49,222.49,212.49,214.99,204.99,194.99,197.49,187.49,177.49,179.99,WAIT
B0CLF2DNMV,169.99,166.59,168.29,161.49,156.39,158.09,151.29,144.49,146.19,139.39,132.59,134.29,127.49,120.69,122.39,WAIT
B0CLNBSHBY,13.11,13.56,14.01,14.46,14.91,15.36,15.81,16.26,18.35,18.35,18.35,18.35,18.35,18.35,18.35,BUY
B0CLWSGNS3,178.95,185.09,191.22,197.36,203.49,209.63,215.76,221.9,250.53,250.53,250.53,250.53,250.53,250.53,250.53,BUY
B0CMC2FZFD,179.99,176.39,178.19,170.99,165.59,167.39,160.19,152.99,154.79,147.59,140.39,142.19,134.99,127.79,129.59,WAIT
B0CNCHLR56,44.03,43.15,43.59,41.83,40.51,40.95,39.19,37.43,37.87,36.10,34.34,34.78,33.02,31.26,31.70,WAIT
B0CNXKKRPH,59.99,62.05,64.1,66.16,68.22,70.27,72.33,74.39,83.99,83.99,83.99,83.99,83.99,83.99,83.99,BUY
B0CP4CG1ZB,165.0,161.70,163.35,156.75,151.80,153.45,146.85,140.25,141.90,135.30,128.70,130.35,123.75,117.15,118.80,WAIT
B0CPHW5JQY,139.99,137.19,138.59,132.99,128.79,130.19,124.59,118.99,120.39,114.79,109.19,110.59,104.99,99.39,100.79,WAIT
B0CPNYDXQL,99.99,97.99,98.99,94.99,91.99,92.99,88.99,84.99,85.99,81.99,77.99,78.99,74.99,70.99,71.99,WAIT
B0CQ1CVW3Z,89.95,92.71,95.47,98.23,100.99,103.75,106.51,109.26,123.74,123.31,122.87,122.43,122.0,121.56,121.12,BUY
B0CQF6T2K1,9.99,10.33,10.68,11.02,11.36,11.7,12.05,12.39,13.99,13.99,13.99,13.99,13.99,13.99,13.99,BUY
B0CQXG17RL,41.98,43.42,44.86,46.3,47.74,49.18,50.62,52.06,58.77,58.77,58.77,58.77,58.77,58.77,58.77,BUY
B0CQXHLJ81,29.99,31.02,32.05,33.07,34.1,35.13,36.16,37.19,41.99,41.99,41.99,41.99,41.99,41.99,41.99,BUY
B0CRGJC5ZD,199.99,195.99,197.99,189.99,183.99,185.99,177.99,169.99,171.99,163.99,155.99,157.99,149.99,141.99,143.99,WAIT
B0CRT6HQ82,69.99,68.59,69.29,66.49,64.39,65.09,62.29,59.49,60.19,57.39,54.59,55.29,52.49,49.69,50.39,WAIT
B0CRTYZG5C,25.99,26.88,27.77,28.66,29.55,30.45,31.34,32.23,36.39,36.39,36.39,36.39,36.39,36.39,36.39,BUY
B0CSXV3GK4,34.97,34.27,34.62,33.22,32.17,32.52,31.12,29.72,30.07,28.68,27.28,27.63,26.23,24.83,25.18,WAIT
B0CT3SGHXL,199.99,206.85,213.7,220.56,227.42,234.27,241.13,247.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,BUY
B0CT6D6Q27,119.94,117.54,118.74,113.94,110.34,111.54,106.75,101.95,103.15,98.35,93.55,94.75,89.96,85.16,86.36,WAIT
B0CT9MB4WR,109.95,107.75,108.85,104.45,101.15,102.25,97.86,93.46,94.56,90.16,85.76,86.86,82.46,78.06,79.16,WAIT
B0CT9PYXGY,24.95,25.81,26.66,27.52,28.37,29.23,30.08,30.94,34.93,34.93,34.93,34.93,34.93,34.93,34.93,BUY
B0CT9XTKKM,149.95,155.09,160.23,165.37,170.51,175.66,180.8,185.94,209.93,209.93,209.93,209.93,209.93,209.93,209.93,BUY
B0CTBCDD6D,89.95,88.15,89.05,85.45,82.75,83.65,80.06,76.46,77.36,73.76,70.16,71.06,67.46,63.86,64.76,WAIT
B0CTBD4X55,29.88,30.9,31.93,32.95,33.98,35.0,36.03,37.05,41.83,41.83,41.83,41.83,41.83,41.83,41.83,BUY
B0CTBF4MKS,79.0,81.71,84.42,87.13,89.83,92.54,95.25,97.96,110.6,110.6,110.6,110.6,110.6,110.6,110.6,BUY
B0CTJR2C5X,69.99,68.59,69.29,66.49,64.39,65.09,62.29,59.49,60.19,57.39,54.59,55.29,52.49,49.69,50.39,WAIT
B0CTKVLHMW,177.99,173.8,169.6,165.41,161.21,157.02,152.82,148.63,111.56,116.33,121.1,125.87,130.64,135.41,140.18,WAIT
B0CTNWBT1Z,49.95,48.95,49.45,47.45,45.95,46.45,44.46,42.46,42.96,40.96,38.96,39.46,37.46,35.46,35.96,WAIT
B0CTP56C5R,79.95,82.69,85.43,88.17,90.91,93.66,96.4,99.14,111.93,111.93,111.93,111.93,111.93,111.93,111.93,BUY
B0CV5T2YG6,99.95,103.38,106.8,110.23,113.66,117.08,120.51,123.94,139.93,139.93,139.93,139.93,139.93,139.93,139.93,BUY
B0CVM2GJCN,69.9,68.50,69.20,66.41,64.31,65.01,62.21,59.41,60.11,57.32,54.52,55.22,52.42,49.63,50.33,WAIT
B0CWVXTK6Z,148.0,143.63,139.25,134.88,130.51,126.13,121.76,117.39,90.55,92.3,94.06,95.81,97.56,99.31,101.06,WAIT
B0CWXNS552,24.0,24.82,25.65,26.47,27.29,28.11,28.94,29.76,33.6,33.6,33.6,33.6,33.6,33.6,33.6,BUY
B0CXPR5412,116.36,120.35,124.34,128.33,132.32,136.31,140.3,144.29,162.9,162.9,162.9,162.9,162.9,162.9,162.9,BUY
B0CY6S748H,139.0,138.99,138.98,138.97,138.96,138.95,138.94,138.93,138.88,138.88,138.88,138.88,138.88,138.88,138.88,BUY
B0CZPLV566,149.95,146.95,148.45,142.45,137.95,139.45,133.46,127.46,128.96,122.96,116.96,118.46,112.46,106.46,107.96,WAIT
B0D1CPPL85,196.99,203.74,210.5,217.25,224.01,230.76,237.51,244.27,275.79,275.79,275.79,275.79,275.79,275.79,275.79,BUY
B0D1DFRKNG,399.99,413.7,427.42,441.13,454.85,468.56,482.27,495.99,559.99,559.99,559.99,559.99,559.99,559.99,559.99,BUY
B0D1JNW26R,79.99,78.39,79.19,75.99,73.59,74.39,71.19,67.99,68.79,65.59,62.39,63.19,59.99,56.79,57.59,WAIT
B0D1XD1ZV3,215.0,210.70,212.85,204.25,197.80,199.95,191.35,182.75,184.90,176.30,167.70,169.85,161.25,152.65,154.80,WAIT
B0D1XH8NJP,16.68,17.25,17.82,18.4,18.97,19.54,20.11,20.68,23.35,23.35,23.35,23.35,23.35,23.35,23.35,BUY
B0D1XKVS39,9.79,10.13,10.46,10.8,11.13,11.47,11.8,12.14,13.71,13.71,13.71,13.71,13.71,13.71,13.71,BUY
B0D1XNYKD5,16.42,16.9,17.37,17.85,18.32,18.8,19.28,19.75,20.38,20.81,21.25,21.68,22.12,22.55,22.99,BUY
B0D1YQKDNL,299.99,293.99,296.99,284.99,275.99,278.99,266.99,254.99,257.99,245.99,233.99,236.99,224.99,212.99,215.99,WAIT
B0D2FSYS5J,196.99,193.05,195.02,187.14,181.23,183.20,175.32,167.44,169.41,161.53,153.65,155.62,147.74,139.86,141.83,WAIT
B0D2PNH494,687.99,674.23,681.11,653.59,632.95,639.83,612.31,584.79,591.67,564.15,536.63,543.51,515.99,488.47,495.35,WAIT
B0D2XRXNGY,39.99,41.36,42.73,44.1,45.47,46.85,48.22,49.59,55.99,55.99,55.99,55.99,55.99,55.99,55.99,BUY
