ASIN,Current_Price,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Recommendation
B0D3J85SX4,69.95,68.4,66.84,65.29,63.74,62.19,60.63,59.08,53.01,52.69,52.37,52.05,51.73,51.4,51.08,WAIT
B0D3WGM8X8,219.99,215.59,217.79,208.99,202.39,204.59,195.79,186.99,189.19,180.39,171.59,173.79,164.99,156.19,158.39,WAIT
B0D43WW8F2,34.98,36.18,37.38,38.58,39.78,40.98,42.18,43.38,48.97,48.97,48.97,48.97,48.97,48.97,48.97,BUY
B0D526GSYY,499.99,489.99,494.99,474.99,459.99,464.99,444.99,424.99,429.99,409.99,389.99,394.99,374.99,354.99,359.99,WAIT
B0D54JZTHY,59.99,62.05,64.1,66.16,68.22,70.27,72.33,74.39,83.99,83.99,83.99,83.99,83.99,83.99,83.99,BUY
B0D5KKV2MS,135.98,140.64,145.3,149.97,154.63,159.29,163.95,168.62,190.37,190.37,190.37,190.37,190.37,190.37,190.37,BUY
B0D6354JRF,72.22,70.78,71.50,68.61,66.44,67.16,64.28,61.39,62.11,59.22,56.33,57.05,54.16,51.28,52.00,WAIT
B0D63657GY,24.99,24.52,24.04,23.57,23.09,22.62,22.14,21.67,19.45,19.45,19.45,19.45,19.45,19.45,19.45,WAIT
B0D636SL59,44.99,46.53,48.08,49.62,51.16,52.7,54.25,55.79,62.99,62.99,62.99,62.99,62.99,62.99,62.99,BUY
B0D637HK8Q,19.99,20.68,21.36,22.05,22.73,23.42,24.1,24.79,27.99,27.99,27.99,27.99,27.99,27.99,27.99,BUY
B0D637HWC5,30.99,32.05,33.12,34.18,35.24,36.3,37.37,38.43,43.39,43.39,43.39,43.39,43.39,43.39,43.39,BUY
B0D6CKL4HV,149.99,149.95,149.91,149.87,149.83,149.79,149.76,149.72,149.53,149.53,149.53,149.53,149.53,149.53,149.53,BUY
B0D6WD2QSQ,159.0,160.93,162.86,164.79,166.72,168.64,170.57,172.5,213.79,204.99,196.18,187.37,178.57,169.76,160.95,BUY
B0D79ND3N7,169.0,166.0,163.0,160.0,157.01,154.01,151.01,148.01,142.48,140.17,137.87,135.56,133.25,130.94,128.63,WAIT
B0D7FVQ1ZB,15.98,16.53,17.08,17.62,18.17,18.72,19.27,19.82,22.37,22.37,22.37,22.37,22.37,22.37,22.37,BUY
B0D7QTSXY5,158.95,155.77,157.36,151.00,146.23,147.82,141.47,135.11,136.70,130.34,123.98,125.57,119.21,112.85,114.44,WAIT
B0D826GXQ3,99.99,97.99,98.99,94.99,91.99,92.99,88.99,84.99,85.99,81.99,77.99,78.99,74.99,70.99,71.99,WAIT
B0D83J6JJ9,59.0,57.82,58.41,56.05,54.28,54.87,52.51,50.15,50.74,48.38,46.02,46.61,44.25,41.89,42.48,WAIT
B0D8BZDPXB,179.0,175.42,177.21,170.05,164.68,166.47,159.31,152.15,153.94,146.78,139.62,141.41,134.25,127.09,128.88,WAIT
B0D8LH2VSP,159.99,165.48,170.96,176.45,181.93,187.42,192.9,198.39,223.99,223.99,223.99,223.99,223.99,223.99,223.99,BUY
B0D8WJYSF9,79.99,82.73,85.48,88.22,90.96,93.7,96.45,99.19,111.99,111.99,111.99,111.99,111.99,111.99,111.99,BUY
B0D9MK23S7,99.99,97.99,98.99,94.99,91.99,92.99,88.99,84.99,85.99,81.99,77.99,78.99,74.99,70.99,71.99,WAIT
B0D9R2KDY9,48.0,49.65,51.29,52.94,54.58,56.23,57.87,59.52,67.2,67.2,67.2,67.2,67.2,67.2,67.2,BUY
B0D9R7Q449,177.0,173.46,175.23,168.15,162.84,164.61,157.53,150.45,152.22,145.14,138.06,139.83,132.75,125.67,127.44,WAIT
B0D9WWB3WX,349.0,342.02,345.51,331.55,321.08,324.57,310.61,296.65,300.14,286.18,272.22,275.71,261.75,247.79,251.28,WAIT
B0D9YZJ3V7,240.42,244.48,248.54,252.6,256.66,260.72,264.78,268.84,287.79,287.79,287.79,287.79,287.79,287.79,287.79,BUY
B0DC17VXTL,399.99,391.99,395.99,379.99,367.99,371.99,355.99,339.99,343.99,327.99,311.99,315.99,299.99,283.99,287.99,WAIT
B0DCJRW7BB,91.2,92.63,94.07,95.5,96.93,98.36,99.8,101.23,107.92,107.92,107.92,107.92,107.92,107.92,107.92,BUY
B0DCKHXDC3,58.62,57.45,58.03,55.69,53.93,54.52,52.17,49.83,50.41,48.07,45.72,46.31,43.97,41.62,42.21,WAIT
B0DCLFYFSR,549.0,538.02,543.51,521.55,505.08,510.57,488.61,466.65,472.14,450.18,428.22,433.71,411.75,389.79,395.28,WAIT
B0DCLRRHSP,199.0,195.02,197.01,189.05,183.08,185.07,177.11,169.15,171.14,163.18,155.22,157.21,149.25,141.29,143.28,WAIT
B0DDM7PFLW,127.99,125.43,126.71,121.59,117.75,119.03,113.91,108.79,110.07,104.95,99.83,101.11,95.99,90.87,92.15,WAIT
B0DF44RTTP,76.26,74.73,75.50,72.45,70.16,70.92,67.87,64.82,65.58,62.53,59.48,60.25,57.20,54.14,54.91,WAIT
B0DGHYQ1VJ,199.0,195.02,197.01,189.05,183.08,185.07,177.11,169.15,171.14,163.18,155.22,157.21,149.25,141.29,143.28,WAIT
B0DGJ7HYG1,149.0,146.02,147.51,141.55,137.08,138.57,132.61,126.65,128.14,122.18,116.22,117.71,111.75,105.79,107.28,WAIT
B0DGWNRBZJ,298.0,293.98,289.96,285.94,281.92,277.9,273.88,269.86,194.29,209.78,225.28,240.77,256.26,271.75,287.24,WAIT
B0DH3FV295,53.99,52.91,53.45,51.29,49.67,50.21,48.05,45.89,46.43,44.27,42.11,42.65,40.49,38.33,38.87,WAIT
B0DHVH5KCB,24.99,25.85,26.7,27.56,28.42,29.27,30.13,30.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,BUY
B0DJFXWNT7,26.39,25.86,26.13,25.07,24.28,24.54,23.49,22.43,22.70,21.64,20.58,20.85,19.79,18.74,19.00,WAIT
B0DJMFS75S,103.54,101.84,100.15,98.45,96.75,95.06,93.36,91.66,66.76,71.39,76.02,80.66,85.29,89.92,94.56,BUY
B0DJV4N98X,99.99,103.42,106.85,110.27,113.7,117.13,120.56,123.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,BUY
B0DJWQ1FV1,27.97,27.41,27.69,26.57,25.73,26.01,24.89,23.77,24.05,22.94,21.82,22.10,20.98,19.86,20.14,WAIT
B0DKL298QX,468.0,458.64,463.32,444.60,430.56,435.24,416.52,397.80,402.48,383.76,365.04,369.72,351.00,332.28,336.96,WAIT
B0DM6S4FMH,139.0,143.77,148.53,153.3,158.06,162.83,167.59,172.36,194.6,194.6,194.6,194.6,194.6,194.6,194.6,BUY
B0DMHV5BG9,118.95,116.57,117.76,113.00,109.43,110.62,105.87,101.11,102.30,97.54,92.78,93.97,89.21,84.45,85.64,WAIT
B0DMYQ32SC,109.95,113.72,117.49,121.26,125.03,128.8,132.57,136.34,153.93,153.93,153.93,153.93,153.93,153.93,153.93,BUY
B0DN2ZCZX6,159.95,162.57,165.2,167.82,170.45,173.07,175.7,178.32,216.78,209.63,202.49,195.34,188.19,181.04,173.9,BUY
B0DN45YMP6,39.94,41.31,42.68,44.05,45.42,46.79,48.16,49.53,55.92,55.92,55.92,55.92,55.92,55.92,55.92,BUY
B0DNZCJ93D,49.99,51.7,53.42,55.13,56.85,58.56,60.27,61.99,69.99,69.99,69.99,69.99,69.99,69.99,69.99,BUY
B0DPGK6XQ6,16.57,17.14,17.71,18.27,18.84,19.41,19.98,20.55,23.2,23.2,23.2,23.2,23.2,23.2,23.2,BUY
B0DQ74C7CX,13.48,13.94,14.4,14.87,15.33,15.79,16.25,16.72,18.87,18.87,18.87,18.87,18.87,18.87,18.87,BUY
B0DQSJ4QHB,21.99,22.52,23.04,23.57,24.1,24.63,25.15,25.68,30.22,29.65,29.09,28.52,27.95,27.39,26.82,BUY
B0DR9LFNGX,149.99,146.99,148.49,142.49,137.99,139.49,133.49,127.49,128.99,122.99,116.99,118.49,112.49,106.49,107.99,WAIT
B0DRM949PC,44.95,44.05,44.50,42.70,41.35,41.80,40.01,38.21,38.66,36.86,35.06,35.51,33.71,31.91,32.36,WAIT
B0DS2B3P2B,229.0,236.85,244.7,252.55,260.41,268.26,276.11,283.96,320.6,320.6,320.6,320.6,320.6,320.6,320.6,BUY
B0DS2DF5S5,309.0,302.82,305.91,293.55,284.28,287.37,275.01,262.65,265.74,253.38,241.02,244.11,231.75,219.39,222.48,WAIT
B0DS2TCW9L,226.99,234.77,242.56,250.34,258.12,265.9,273.69,281.47,317.79,317.79,317.79,317.79,317.79,317.79,317.79,BUY
B0DSG9VCRH,399.99,391.99,395.99,379.99,367.99,371.99,355.99,339.99,343.99,327.99,311.99,315.99,299.99,283.99,287.99,WAIT
B0DSK2MB15,179.95,176.35,178.15,170.95,165.55,167.35,160.16,152.96,154.76,147.56,140.36,142.16,134.96,127.76,129.56,WAIT
B0DT2344N3,249.0,244.02,246.51,236.55,229.08,231.57,221.61,211.65,214.14,204.18,194.22,196.71,186.75,176.79,179.28,WAIT
B0DT3YMDMZ,104.99,108.59,112.19,115.79,119.39,122.99,126.59,130.19,146.99,146.99,146.99,146.99,146.99,146.99,146.99,BUY
B0DTTMYBRH,152.95,154.4,155.84,157.29,158.74,160.18,161.63,163.08,167.81,168.36,168.91,169.46,170.01,170.57,171.12,BUY
B0DVH6N98L,19.95,20.63,21.32,22.0,22.69,23.37,24.05,24.74,27.93,27.93,27.93,27.93,27.93,27.93,27.93,BUY
B0DVTGBCBL,89.95,88.15,89.05,85.45,82.75,83.65,80.06,76.46,77.36,73.76,70.16,71.06,67.46,63.86,64.76,WAIT
B0DVZY44YR,549.99,538.99,544.49,522.49,505.99,511.49,489.49,467.49,472.99,450.99,428.99,434.49,412.49,390.49,395.99,WAIT
B0DW97VBWL,109.95,113.72,117.49,121.26,125.03,128.8,132.57,136.34,153.93,153.93,153.93,153.93,153.93,153.93,153.93,BUY
B0DWC512JJ,79.99,82.73,85.48,88.22,90.96,93.7,96.45,99.19,111.99,111.99,111.99,111.99,111.99,111.99,111.99,BUY
B0DWCRXZF2,14.99,15.5,16.02,16.53,17.05,17.56,18.07,18.59,20.99,20.99,20.99,20.99,20.99,20.99,20.99,BUY
B0DWGS5977,94.99,93.09,94.04,90.24,87.39,88.34,84.54,80.74,81.69,77.89,74.09,75.04,71.24,67.44,68.39,WAIT
B0DWMJJQVC,1077.98,1056.42,1067.20,1024.08,991.74,1002.52,959.40,916.28,927.06,883.94,840.82,851.60,808.48,765.37,776.15,WAIT
B0DX2LNZ68,299.99,293.99,296.99,284.99,275.99,278.99,266.99,254.99,257.99,245.99,233.99,236.99,224.99,212.99,215.99,WAIT
B0DXXYS4BJ,17.99,18.61,19.22,19.84,20.46,21.07,21.69,22.31,25.19,25.19,25.19,25.19,25.19,25.19,25.19,BUY
B0DXY833HV,29.0,29.99,30.99,31.98,32.98,33.97,34.97,35.96,40.6,40.6,40.6,40.6,40.6,40.6,40.6,BUY
B0DY8BRMM5,99.0,102.39,105.79,109.18,112.58,115.97,119.37,122.76,138.6,138.6,138.6,138.6,138.6,138.6,138.6,BUY
B0DYD56G2Y,409.0,400.82,404.91,388.55,376.28,380.37,364.01,347.65,351.74,335.38,319.02,323.11,306.75,290.39,294.48,WAIT
B0DYJKTHYF,74.99,77.56,80.13,82.7,85.27,87.85,90.42,92.99,104.99,104.99,104.99,104.99,104.99,104.99,104.99,BUY
B0DYJWL6QS,7.86,8.13,8.4,8.67,8.94,9.21,9.48,9.75,11.0,11.0,11.0,11.0,11.0,11.0,11.0,BUY
B0DYR3D7QQ,136.99,141.69,146.38,151.08,155.78,160.47,165.17,169.87,191.79,191.79,191.79,191.79,191.79,191.79,191.79,BUY
B0DYVRJJY4,278.97,273.39,276.18,265.02,256.65,259.44,248.28,237.12,239.91,228.76,217.60,220.39,209.23,198.07,200.86,WAIT
B0DYWNQMQJ,549.96,538.96,544.46,522.46,505.96,511.46,489.46,467.47,472.97,450.97,428.97,434.47,412.47,390.47,395.97,WAIT
B0DZ54SVWG,77.97,76.41,77.19,74.07,71.73,72.51,69.39,66.27,67.05,63.94,60.82,61.60,58.48,55.36,56.14,WAIT
B0DZ743XN6,649.99,636.99,643.49,617.49,597.99,604.49,578.49,552.49,558.99,532.99,506.99,513.49,487.49,461.49,467.99,WAIT
B0DZ77D5HL,299.0,293.02,296.01,284.05,275.08,278.07,266.11,254.15,257.14,245.18,233.22,236.21,224.25,212.29,215.28,WAIT
B0DZL719V1,299.99,293.99,296.99,284.99,275.99,278.99,266.99,254.99,257.99,245.99,233.99,236.99,224.99,212.99,215.99,WAIT
B0F1FR8V1T,52.97,54.79,56.6,58.42,60.23,62.05,63.87,65.68,74.16,74.16,74.16,74.16,74.16,74.16,74.16,BUY
B0F1GF1KFC,279.99,274.39,277.19,265.99,257.59,260.39,249.19,237.99,240.79,229.59,218.39,221.19,209.99,198.79,201.59,WAIT
B0F1GY8F7F,99.0,102.36,105.72,109.08,112.44,115.8,119.16,122.52,138.2,138.2,138.2,138.2,138.2,138.2,138.2,BUY
B0F1K9WXH8,14.99,15.43,15.88,16.32,16.76,17.21,17.65,18.09,18.87,19.22,19.57,19.93,20.28,20.63,20.99,BUY
B0F1PQD5GW,35.0,36.2,37.4,38.6,39.8,41.0,42.2,43.4,49.0,49.0,49.0,49.0,49.0,49.0,49.0,BUY
B0F25BWMV5,34.95,36.15,37.35,38.54,39.74,40.94,42.14,43.34,48.93,48.93,48.93,48.93,48.93,48.93,48.93,BUY
B0F25C5257,19.99,20.68,21.36,22.05,22.73,23.42,24.1,24.79,27.99,27.99,27.99,27.99,27.99,27.99,27.99,BUY
B0F2KLX2T3,107.98,111.68,115.38,119.09,122.79,126.49,130.19,133.9,151.17,151.17,151.17,151.17,151.17,151.17,151.17,BUY
B0F2M65H3S,49.0,50.68,52.36,54.04,55.72,57.4,59.08,60.76,68.6,68.6,68.6,68.6,68.6,68.6,68.6,BUY
B0F38GK1QZ,299.99,293.99,296.99,284.99,275.99,278.99,266.99,254.99,257.99,245.99,233.99,236.99,224.99,212.99,215.99,WAIT
B0F3MMK1J4,69.99,68.59,69.29,66.49,64.39,65.09,62.29,59.49,60.19,57.39,54.59,55.29,52.49,49.69,50.39,WAIT
B0F3PQHWTZ,398.0,390.04,394.02,378.10,366.16,370.14,354.22,338.30,342.28,326.36,310.44,314.42,298.50,282.58,286.56,WAIT
B0F53L8J78,26.99,26.45,26.72,25.64,24.83,25.10,24.02,22.94,23.21,22.13,21.05,21.32,20.24,19.16,19.43,WAIT
B0F5QPF2YC,57.99,56.63,55.27,53.91,52.55,51.19,49.82,48.46,36.36,37.93,39.5,41.07,42.64,44.2,45.77,WAIT
B0F5RHB9MZ,79.99,82.73,85.48,88.22,90.96,93.7,96.45,99.19,111.99,111.99,111.99,111.99,111.99,111.99,111.99,BUY
B0F5VLWQY6,359.99,352.79,356.39,341.99,331.19,334.79,320.39,305.99,309.59,295.19,280.79,284.39,269.99,255.59,259.19,WAIT
B0F66MS88R,69.0,71.37,73.73,76.1,78.46,80.83,83.19,85.56,96.6,96.6,96.6,96.6,96.6,96.6,96.6,BUY
B0F6VCDJM9,119.99,117.59,118.79,113.99,110.39,111.59,106.79,101.99,103.19,98.39,93.59,94.79,89.99,85.19,86.39,WAIT
B0F7M3HPBD,299.0,306.02,313.04,320.06,327.08,334.1,341.12,348.14,380.9,380.9,380.9,380.9,380.9,380.9,380.9,BUY
B0F7NY3VLM,79.97,78.37,79.17,75.97,73.57,74.37,71.17,67.97,68.77,65.58,62.38,63.18,59.98,56.78,57.58,WAIT
B0F7S243MJ,10.92,11.29,11.67,12.04,12.42,12.79,13.17,13.54,15.29,15.29,15.29,15.29,15.29,15.29,15.29,BUY
B0F8XV7MPP,99.97,103.4,106.83,110.25,113.68,117.11,120.54,123.96,139.96,139.96,139.96,139.96,139.96,139.96,139.96,BUY
B0F8YDRXNY,109.99,107.79,108.89,104.49,101.19,102.29,97.89,93.49,94.59,90.19,85.79,86.89,83.59,78.09,79.19,WAIT
B0FC3XV5DK,91.99,90.15,91.07,87.39,84.63,85.55,81.87,78.19,79.11,75.43,71.75,72.67,68.99,65.31,66.23,WAIT
B0FC5Q65J8,34.99,36.19,37.39,38.59,39.79,40.99,42.19,43.39,48.99,48.99,48.99,48.99,48.99,48.99,48.99,BUY
B0FCFJ7W9H,2120.93,2078.51,2099.72,2014.88,1951.26,1972.46,1887.63,1802.79,1824.00,1739.16,1654.33,1675.53,1590.70,1505.86,1527.07,WAIT
B0FCLJD9M4,199.99,206.85,213.7,220.56,227.42,234.27,241.13,247.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,BUY
B0FCTHXNC5,29.99,31.02,32.05,33.07,34.1,35.13,36.16,37.19,41.99,41.99,41.99,41.99,41.99,41.99,41.99,BUY
B0FD4CM9SN,895.98,878.06,887.02,851.18,824.30,833.26,797.42,761.58,770.54,734.70,698.86,707.82,671.99,636.15,645.11,WAIT
B0FD5GJ9Y5,1145.98,1123.06,1134.52,1088.68,1054.30,1065.76,1019.92,974.08,985.54,939.70,893.86,905.32,859.49,813.65,825.11,WAIT
B0FDDJ2NWB,495.98,486.06,491.02,471.18,456.30,461.26,441.42,421.58,426.54,406.70,386.86,391.82,376.99,352.15,357.11,WAIT
B0FDDKHY1B,415.98,407.66,411.82,395.18,382.70,386.86,370.22,353.58,357.74,341.10,324.46,328.62,311.99,295.35,299.51,WAIT
B0FDKR293G,399.0,391.02,395.01,379.05,367.08,371.07,355.11,339.15,343.14,327.18,311.22,315.21,299.25,283.29,287.28,WAIT
B0FDKR4RVP,229.0,234.62,240.23,245.85,251.46,257.08,262.7,268.31,253.54,264.72,275.89,287.07,298.25,309.42,320.6,BUY
B0FDLD34V5,129.0,133.42,137.85,142.27,146.69,151.11,155.54,159.96,180.6,180.6,180.6,180.6,180.6,180.6,180.6,BUY
B0FDSLV3B9,13.99,14.47,14.95,15.43,15.91,16.39,16.87,17.35,19.59,19.59,19.59,19.59,19.59,19.59,19.59,BUY
B0FF5JJ3CP,299.99,293.99,296.99,284.99,275.99,278.99,266.99,254.99,257.99,245.99,233.99,236.99,224.99,212.99,215.99,WAIT
B0FFCKFWQX,229.99,225.39,227.69,218.49,211.59,213.89,204.69,195.49,197.79,188.59,179.39,181.69,172.49,163.29,165.59,WAIT
B0FG8XLBJ6,119.97,117.57,118.77,113.97,110.37,111.57,106.77,101.97,103.17,98.38,93.58,94.78,89.98,85.18,86.38,WAIT
B0FHL66FPY,186.99,183.25,185.12,177.64,172.03,173.90,166.42,158.94,160.81,153.33,145.85,147.72,140.24,132.76,134.63,WAIT
B0FHXY7VZ5,104.0,107.57,111.13,114.7,118.26,121.83,125.39,128.96,145.6,145.6,145.6,145.6,145.6,145.6,145.6,BUY
B0FJWQP6LX,339.99,333.19,336.59,322.99,312.79,316.19,302.59,288.99,292.39,278.79,265.19,268.59,254.99,241.39,244.79,WAIT
B0FKW2NYJ5,699.98,685.98,692.98,664.98,643.98,650.98,622.98,594.98,601.98,573.98,545.98,552.98,524.99,496.99,503.99,WAIT
B0FL9Y93H2,547.99,537.03,542.51,520.59,504.15,509.63,487.71,465.79,471.27,449.35,427.43,432.91,410.99,389.07,394.55,WAIT
B0FLL354M2,99.99,97.99,98.99,94.99,91.99,92.99,88.99,84.99,85.99,81.99,77.99,78.99,74.99,70.99,71.99,WAIT
B0FNQ4B2Z2,496.99,487.05,492.02,472.14,457.23,462.20,442.32,422.44,427.41,407.53,387.65,392.62,372.74,352.86,357.83,WAIT
B0FNWCYLZN,49.99,51.7,53.42,55.13,56.85,58.56,60.27,61.99,69.99,69.99,69.99,69.99,69.99,69.99,69.99,BUY
B0FP4SCNWD,249.99,246.04,242.09,238.15,234.2,230.25,226.3,222.36,161.55,173.11,184.67,196.23,207.79,219.34,230.9,BUY
B0FPGQZTFB,199.95,195.95,197.95,189.95,183.95,185.95,177.96,169.96,171.96,163.96,155.96,157.96,149.96,141.96,143.96,WAIT
B0FPZPF71Z,379.0,369.01,359.03,349.04,339.05,329.06,319.08,309.09,234.92,242.44,249.95,257.47,264.99,272.51,280.02,WAIT
B0FQF5BZ8Z,329.0,322.42,325.71,312.55,302.68,305.97,292.81,279.65,282.94,269.78,256.62,259.91,250.04,243.46,246.75,WAIT
B0FQFB8FMG,199.0,205.82,212.65,219.47,226.29,233.11,239.94,246.76,278.6,278.6,278.6,278.6,278.6,278.6,278.6,BUY
B0FQPJXQB3,1774.39,1738.90,1756.65,1685.67,1632.44,1650.18,1579.21,1508.23,1525.98,1454.00,1384.02,1401.77,1330.79,1259.82,1277.56,WAIT
B0FR2XRSHH,868.0,850.64,859.32,824.60,798.56,807.24,772.52,737.80,746.48,711.76,677.04,685.72,651.00,616.28,624.96,WAIT
B0FR2Z1S6L,348.0,341.62,335.24,328.87,322.49,316.11,309.73,303.35,247.95,254.94,261.94,268.93,275.92,282.91,289.91,WAIT
B0FT21HKZ6,67.97,66.61,67.29,64.57,62.53,63.21,60.49,57.77,58.45,55.74,53.02,53.70,50.98,48.26,48.94,WAIT
B0FTT4GXK4,399.99,391.99,395.99,379.99,367.99,371.99,355.99,339.99,343.99,327.99,311.99,315.99,299.99,283.99,287.99,WAIT
B0FTT4VH34,179.99,185.27,190.54,195.82,201.1,206.37,211.65,216.93,241.55,241.55,241.55,241.55,241.55,241.55,241.55,BUY
B0FV8MD221,9.99,10.33,10.68,11.02,11.36,11.7,12.05,12.39,13.99,13.99,13.99,13.99,13.99,13.99,13.99,BUY
B0FVXMHHRP,202.0,208.93,215.85,222.78,229.7,236.63,243.55,250.48,282.8,282.8,282.8,282.8,282.8,282.8,282.8,BUY
B0FW4H14LB,49.99,48.99,49.49,47.49,45.99,46.49,44.49,42.49,42.99,40.99,38.99,39.49,37.49,35.49,35.99,WAIT
B0FWCXJVHN,931.0,912.38,921.69,884.45,856.52,865.83,828.59,791.35,800.66,763.42,726.18,735.49,698.25,661.01,670.32,WAIT
B0FYHP23G9,99.0,97.65,96.31,94.96,93.61,92.27,90.92,89.57,72.83,75.68,78.54,81.39,84.24,87.1,89.95,BUY
B0G16CYYMV,27.5,28.44,29.39,30.33,31.27,32.21,33.16,34.1,38.5,38.5,38.5,38.5,38.5,38.5,38.5,BUY
B0G1PJLWLZ,249.99,244.99,247.49,237.49,229.99,232.49,222.49,212.49,214.99,204.99,194.99,197.49,187.49,177.49,179.99,WAIT
B0G31P119K,129.95,126.71,123.47,120.23,117.0,113.76,110.52,107.28,81.01,84.05,87.1,90.14,93.18,96.22,99.27,WAIT
B0G39X5N25,149.99,146.99,148.49,142.49,137.99,139.49,133.49,127.49,128.99,122.99,116.99,118.49,112.49,106.49,107.99,WAIT
B0G49SZ24N,124.99,129.28,133.56,137.85,142.13,146.42,150.7,154.99,174.99,174.99,174.99,174.99,174.99,174.99,174.99,BUY
B0G6HLWS6Q,298.0,304.33,310.67,317.0,323.34,329.67,336.01,342.34,371.91,371.91,371.91,371.91,371.91,371.91,371.91,BUY
B0GD21577Z,219.99,217.59,215.2,212.8,210.4,208.01,205.61,203.21,160.55,169.13,177.72,186.3,194.89,203.48,212.06,BUY
B0GJTXVN9Z,99.0,97.02,98.01,94.05,91.08,92.07,88.11,84.15,85.14,81.18,77.22,78.21,74.25,70.29,71.28,WAIT
B0GKFLQ9SW,99.99,97.99,98.99,94.99,91.99,92.99,88.99,84.99,85.99,81.99,77.99,78.99,74.99,70.99,71.99,WAIT
B0GLRBGV3J,25.72,26.47,27.22,27.98,28.73,29.48,30.23,30.99,32.13,32.77,33.42,34.07,34.71,35.36,36.01
B0GN4943CW,2012.99,1943.97,1874.96,1805.94,1736.92,1667.91,1598.89,1529.87,1207.79,1207.79,1207.79,1207.79,1207.79,1207.79,1207.79,WAIT
B0GPY9PKD6,349.99,337.99,325.99,313.99,301.99,289.99,277.99,265.99,209.99,209.99,209.99,209.99,209.99,209.99,209.99,WAIT
B0GQVBT32P,839.99,811.19,782.39,753.59,724.79,695.99,667.19,638.39,503.99,503.99,503.99,503.99,503.99,503.99,503.99,WAIT
B0GQVF4SV7,649.99,639.87,629.75,619.62,609.5,599.38,589.26,579.14,420.4,450.81,481.22,511.63,542.04,572.44,602.85,BUY
